nombre_instalacion,direccion,ciudad,codigo_postal,telefono,horario_apertura,horario_cierre,capacidad_maxima,tipo_instalacion,fecha_inauguracion
KINGSBROOK JEWISH MEDICAL CENTER,4683 Stephen Alley,Atimonan,4331,656-625-8035,6:56 PM,3:35 PM,8126,campo deportivo,9/18/1902
FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER,10 Village Avenue,Datian,,494-465-1763,3:23 PM,3:48 PM,2883,campo deportivo,7/11/1999
AAFTAB MEDICAL CENTER,173 Dixon Crossing,Dabagou,,629-541-0940,6:59 PM,3:27 AM,8098,gimnasio,9/12/1938
CENTRAL IOWA HOSPITAL CORPORATION,510 Shoshone Plaza,La Guadalupe,71703,797-974-1386,7:30 PM,8:26 PM,7985,campo deportivo,11/30/2022
"CUMBERLAND FAMILY MEDICAL CENTER, INC.",39137 Lakewood Way,Nakambala,,197-728-3421,12:28 PM,6:44 PM,46,gimnasio,
CAMPBELL COUNTY HOSPITAL DISTRICT,467 Grasskamp Lane,Belize City,,243-211-1147,6:24 AM,8:39 AM,7553,piscina,6/28/1929
"HAYS MEDICAL CENTER, INC.",45657 Hallows Park,Huangbayi,,855-467-9481,5:09 PM,10:40 AM,219,piscina,12/28/1937
DALLAS COUNTY HOSPITAL DISTRICT,15 Utah Pass,Lamduan,76000,248-484-6808,10:10 PM,5:04 AM,2346,piscina,4/21/2020
LINCOLN COUNTY PUBLIC HOSPITAL DISTRICT 1,63103 Valley Edge Junction,Gubo,,115-326-1736,4:33 PM,10:09 AM,531,campo deportivo,12/29/1977
ST. VINCENT HOSPITAL,696 Eliot Terrace,Sandefjord,3225,244-983-7557,10:49 PM,12:10 AM,1278,piscina,11/20/1980
SANFORD MEDICAL CENTER FARGO,70 Hoepker Point,Lourdes,1114,330-865-3941,12:31 PM,8:18 PM,8008,campo deportivo,11/22/1911
TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,6493 Mendota Drive,Dongsheng,,823-294-1690,7:37 PM,9:37 PM,3990,piscina,3/7/1974
VAL VERDE COUNTY HOSPITAL DISTRICT,69155 Eagan Lane,Pringsewu,,289-574-6868,1:38 AM,10:47 AM,9155,gimnasio,4/24/1924
FAIRVIEW HOSPITAL,03457 Pond Avenue,Novaya Mayna,433568,180-677-8049,6:41 PM,7:31 AM,8630,campo deportivo,4/8/2013
CHARLES COLE MEMORIAL HOSPITAL,227 Namekagon Plaza,Bueng Khong Long,39180,923-919-0582,1:12 PM,6:34 AM,5094,piscina,10/31/1921
"ANIMAS SURGICAL HOSPITAL, LLC",5 Bowman Place,Orange Walk,,808-514-9771,10:45 AM,2:58 AM,6066,gimnasio,8/6/1957
NEW YORK CITY HEALTH AND HOSPITAL CORPORATION,7943 Village Street,Ad Dabbah,,302-920-6057,5:52 AM,9:49 PM,8866,campo deportivo,3/28/1981
THE UNIVERSITY OF KANSAS HOSPITAL,44 Spenser Center,La Plaine-Saint-Denis,93571 CEDEX,210-646-9591,7:50 PM,11:55 AM,3619,gimnasio,7/27/1999
MEDICAL CENTER OPHTHALMOLOGY LLP,6 Golf Trail,Heemskerk,1964,744-212-1563,4:51 PM,12:29 PM,1631,gimnasio,7/24/1990
"EFFINGHAM HOSPITAL, INC.",3 Boyd Way,Kaliuling,,336-221-6980,2:51 PM,5:36 AM,6086,piscina,2/12/1914
HARBORVIEW MEDICAL CENTER,4 Di Loreto Crossing,Várzeas,2425-507,391-671-5669,2:41 PM,3:36 AM,3372,gimnasio,4/27/1914
THE FREDERICK FERRIS THOMPSON HOSPITAL,2908 Darwin Junction,Brześć Kujawski,87-880,764-955-0862,7:32 AM,3:43 PM,9198,piscina,8/21/2012
BAY PARK COMMUNITY HOSPITAL,70715 Prairieview Plaza,Huangliu,,128-592-6763,7:29 PM,6:18 PM,4282,gimnasio,10/30/1928
THE MCLEAN HOSPITAL CORPORATION,671 Gale Trail,Martingança-Gare,2445-764,967-829-8628,10:43 AM,3:21 AM,,campo deportivo,10/11/1945
OSU VETERINARY TEACHING HOSPITAL,82322 Crest Line Drive,Dateng,,510-269-8706,3:02 PM,8:51 PM,9550,campo deportivo,7/19/1959
COMMUNITY HOSPITAL OF ANACONDA,8049 Troy Court,Houston,77070,713-994-4202,1:27 PM,6:00 PM,4237,piscina,11/2/1967
"DESERT HOSPITALISTS, PC",1435 Fair Oaks Crossing,Sindou,,759-115-1250,2:15 PM,11:58 AM,9880,gimnasio,8/10/1966
ADVANCE CARE HOSPITAL,5827 Melody Drive,Ręczno,97-510,702-390-6172,10:30 PM,8:57 PM,7965,campo deportivo,8/19/1966
ROBERT J. DOLE VA MEDICAL CENTER,61561 Graedel Pass,Antagan Segunda,0918,144-465-0826,10:53 AM,10:15 AM,6636,campo deportivo,2/6/1937
DECATUR MORGAN HOSPITALIST GROUP,22 Sachtjen Way,Jinhe,,296-799-9535,5:36 PM,2:26 AM,945,piscina,4/3/2014
OAKLAND PHYSICIANS MEDICAL CENTER,0 Pine View Crossing,Yershov,442080,671-342-6840,5:25 AM,10:00 PM,624,piscina,5/21/1961
CARL R DARNALL ARMY MEDICAL CENTER,33 Lunder Court,Miguel Hidalgo,87090,978-417-6301,5:39 PM,1:52 PM,581,campo deportivo,12/16/1959
BETH ISRAEL MEDICAL CENTER,11052 Londonderry Court,Ludvika,771 31,247-685-6814,7:56 AM,3:23 PM,5514,gimnasio,3/1/1929
HOSPITAL MENONITA CAGUAS INC,2 Bowman Hill,Nanzhihui,,383-754-1710,1:12 PM,9:54 AM,4343,piscina,10/17/1915
