estudiante_id,materia,trimestre,calificacion,asistencia_porcentaje,participacion_clase
EST001,Matemáticas,1,5.6,82,Media
EST001,Lengua,1,6.1,82,Media
EST001,Ciencias,1,4.0,63,Baja
EST001,Historia,1,5.8,80,Baja
EST001,Inglés,1,6.6,81,Media
EST001,Educación Física,1,5.3,84,Baja
EST001,Matemáticas,2,7.2,86,Baja
EST001,Lengua,2,5.7,80,Baja
EST001,Ciencias,2,5.8,80,Baja
EST001,Historia,2,4.8,69,Baja
EST001,Inglés,2,4.7,70,Media
EST001,Educación Física,2,6.8,90,Baja
EST001,Matemáticas,3,4.1,63,Media
EST001,Lengua,3,5.7,83,Baja
EST001,Ciencias,3,4.7,66,Media
EST001,Historia,3,6.4,87,Baja
EST001,Inglés,3,6.5,80,Baja
EST001,Educación Física,3,6.8,82,Alta
EST002,Matemáticas,1,4.7,70,Media
EST002,Lengua,1,5.9,75,Media
EST002,Ciencias,1,5.5,89,Media
EST002,Historia,1,6.6,84,Media
EST002,Inglés,1,6.4,82,Media
EST002,Educación Física,1,5.4,79,Baja
EST002,Matemáticas,2,5.6,90,Baja
EST002,Lengua,2,6.7,81,Media
EST002,Ciencias,2,4.5,76,Baja
EST002,Historia,2,4.9,62,Baja
EST002,Inglés,2,5.9,81,Baja
EST002,Educación Física,2,4.2,70,Baja
EST002,Matemáticas,3,4.8,75,Alta
EST002,Lengua,3,4.4,61,Baja
EST002,Ciencias,3,5.2,89,Baja
EST002,Historia,3,5.4,75,Media
EST002,Inglés,3,5.8,76,Baja
EST002,Educación Física,3,5.5,76,Baja
EST003,Matemáticas,1,6.8,88,Alta
EST003,Lengua,1,7.1,98,Media
EST003,Ciencias,1,6.2,87,Media
EST003,Historia,1,8.3,89,Alta
EST003,Inglés,1,7.8,89,Media
EST003,Educación Física,1,8.7,85,Media
EST003,Matemáticas,2,7.2,98,Media
EST003,Lengua,2,8.1,92,Alta
EST003,Ciencias,2,7.8,88,Alta
EST003,Historia,2,9.2,85,Alta
EST003,Inglés,2,6.3,76,Media
EST003,Educación Física,2,7.1,99,Media
EST003,Matemáticas,3,7.1,94,Media
EST003,Lengua,3,7.7,95,Media
EST003,Ciencias,3,8.0,89,Baja
EST003,Historia,3,7.0,88,Media
EST003,Inglés,3,8.6,90,Alta
EST003,Educación Física,3,7.6,100,Alta
EST004,Matemáticas,1,5.7,85,Baja
EST004,Lengua,1,5.8,84,Media
EST004,Ciencias,1,5.2,84,Baja
EST004,Historia,1,6.4,89,Baja
